OrderNumber,OrderDate,Ship Date,Customer Name Index,Channel,Currency Code,Warehouse Code,Region Index,Product  Index,Order Quantity,Unit Price,Total Unit Cost,Total Revenue
SO - 0006820,6-01-2017,11-01-2017,20,Wholesale,NZD,AXW291,39,6,7,1145.7,515.57,8019.9
SO - 0007187,6-01-2017,23-01-2017,12,Wholesale,USD,AXW291,31,7,11,1031.8,588.13,11349.8
SO - 0006661,7-01-2017,14-01-2017,35,Wholesale,AUD,AXW291,95,7,6,3370.1,2257.97,20220.6
SO - 0006737,7-01-2017,12-01-2017,21,Wholesale,USD,AXW291,98,7,6,1206.0,964.8,7236.0
SO - 0007183,7-01-2017,23-01-2017,13,Distributor,NZD,AXW291,41,1,9,268.0,222.44,2412.0
SO - 0002801,8-01-2017,15-01-2017,7,Distributor,AUD,AXW291,28,2,6,1031.8,412.72,6190.8
SO - 0005813,8-01-2017,22-01-2017,41,Wholesale,USD,AXW291,17,1,7,1159.1,788.19,8113.7
SO - 0007632,8-01-2017,13-01-2017,41,Distributor,NZD,AXW291,17,2,10,3939.6,1851.61,39396.0
SO - 000992,9-01-2017,24-01-2017,49,Export,USD,AXW291,65,7,7,3912.8,2778.09,27389.6
SO - 0002398,9-01-2017,13-01-2017,32,Wholesale,NZD,AXW291,42,13,12,1996.6,1637.21,23959.2
SO - 0002741,9-01-2017,24-01-2017,48,Wholesale,USD,AXW291,42,7,9,1775.5,1473.67,15979.5
SO - 0003918,9-01-2017,12-01-2017,31,Wholesale,AUD,AXW291,72,13,6,1105.5,851.24,6633.0
SO - 0004955,9-01-2017,15-01-2017,23,Export,EUR,AXW291,33,8,8,5561.0,2335.62,44488.0
SO - 0005615,9-01-2017,17-01-2017,40,Wholesale,NZD,AXW291,64,5,5,3939.6,2087.99,19698.0
SO - 0001521,10-01-2017,19-01-2017,5,Export,NZD,AXW291,21,12,7,1065.3,724.4,7457.1
SO - 0003239,10-01-2017,24-01-2017,34,Distributor,AUD,AXW291,19,2,6,3966.4,1586.56,23798.4
SO - 0005857,10-01-2017,14-01-2017,36,Wholesale,USD,AXW291,59,11,9,1072.0,600.32,9648.0
SO - 0006447,10-01-2017,22-01-2017,7,Distributor,USD,AXW291,9,2,5,2680.0,2117.2,13400.0
SO - 0007054,10-01-2017,18-01-2017,48,Distributor,GBP,AXW291,46,5,8,2525.9,1818.65,20207.2
SO - 000657,11-01-2017,22-01-2017,18,Export,USD,AXW291,91,11,10,1118.9,492.32,11189.0
SO - 0003221,11-01-2017,18-01-2017,49,Wholesale,NZD,AXW291,27,2,9,2237.8,1409.81,20140.2
SO - 0003879,11-01-2017,18-01-2017,6,Wholesale,USD,AXW291,79,2,9,1273.0,1043.86,11457.0
SO - 0005097,11-01-2017,26-01-2017,1,Distributor,USD,AXW291,38,4,12,2505.8,1954.52,30069.6
SO - 000521,12-01-2017,21-01-2017,41,Wholesale,USD,AXW291,29,5,5,1105.5,740.69,5527.5
SO - 0003792,12-01-2017,20-01-2017,27,Wholesale,USD,AXW291,92,11,7,187.6,146.33,1313.2
SO - 0004448,12-01-2017,21-01-2017,44,Wholesale,NZD,AXW291,64,7,11,3845.8,2615.14,42303.8
SO - 0005756,12-01-2017,15-01-2017,34,Export,NZD,AXW291,63,7,5,3631.4,1561.5,18157.0
SO - 0007230,12-01-2017,16-01-2017,50,Distributor,USD,AXW291,43,11,6,3899.4,3275.5,23396.4
SO - 0003422,13-01-2017,20-01-2017,33,Distributor,GBP,AXW291,10,2,11,221.1,121.61,2432.1
SO - 0004790,13-01-2017,18-01-2017,29,Export,USD,AXW291,57,5,12,1085.4,607.82,13024.8
SO - 0007086,13-01-2017,25-01-2017,18,Wholesale,AUD,AXW291,70,2,7,2345.0,1219.4,16415.0
SO - 0007336,13-01-2017,24-01-2017,4,Distributor,NZD,AXW291,92,2,11,1125.6,619.08,12381.6
SO - 0008075,13-01-2017,29-01-2017,30,Wholesale,NZD,AXW291,84,2,7,790.6,490.17,5534.2
SO - 000893,14-01-2017,01-02-2017,4,Distributor,USD,AXW291,3,14,11,6103.7,2746.67,67140.7
SO - 0003170,14-01-2017,01-02-2017,23,Distributor,NZD,AXW291,55,14,11,1969.8,827.32,21667.8
SO - 0003190,14-01-2017,31-01-2017,28,Wholesale,GBP,AXW291,92,6,10,201.0,160.8,2010.0
SO - 0003227,14-01-2017,27-01-2017,39,Wholesale,USD,AXW291,44,1,7,1065.3,862.89,7457.1
SO - 0005834,14-01-2017,23-01-2017,28,Wholesale,NZD,AXW291,68,5,7,3906.1,2538.97,27342.7
SO - 0006227,14-01-2017,25-01-2017,8,Wholesale,AUD,AXW291,51,7,11,1159.1,602.73,12750.1
SO - 0007460,14-01-2017,17-01-2017,3,Wholesale,AUD,AXW291,52,1,10,1011.7,556.44,10117.0
SO - 0001326,15-01-2017,21-01-2017,3,Distributor,NZD,AXW291,47,11,12,201.0,152.76,2412.0
SO - 0003367,15-01-2017,25-01-2017,35,Wholesale,NZD,AXW291,36,1,5,2968.1,1187.24,14840.5
SO - 0003549,15-01-2017,31-01-2017,49,Distributor,USD,AXW291,41,1,12,1045.2,480.79,12542.4
SO - 0006511,15-01-2017,20-01-2017,45,Distributor,NZD,AXW291,27,11,8,2465.6,1873.86,19724.8
SO - 0006598,15-01-2017,23-01-2017,9,Wholesale,EUR,AXW291,6,2,11,871.0,540.02,9581.0
SO - 0007322,15-01-2017,22-01-2017,11,Wholesale,AUD,AXW291,25,11,5,4020.0,3095.4,20100.0
SO - 000107,16-01-2017,24-01-2017,14,Distributor,EUR,AXW291,98,1,10,1192.6,536.67,11926.0
SO - 000593,16-01-2017,27-01-2017,18,Wholesale,AUD,AXW291,7,13,8,5547.6,4216.18,44380.8
SO - 000654,16-01-2017,29-01-2017,12,Wholesale,NZD,AXW291,40,11,11,1051.9,515.43,11570.9
SO - 0001892,16-01-2017,25-01-2017,14,Distributor,USD,AXW291,37,5,6,3155.7,2240.55,18934.2
SO - 0002825,16-01-2017,29-01-2017,47,Wholesale,AUD,AXW291,49,10,5,3175.8,1905.48,15879.0
SO - 0004556,16-01-2017,19-01-2017,37,Distributor,GBP,AXW291,16,2,10,1876.0,1013.04,18760.0
SO - 0005016,16-01-2017,20-01-2017,50,Distributor,NZD,AXW291,48,13,10,2619.7,1938.58,26197.0
SO - 0005689,16-01-2017,28-01-2017,1,Distributor,NZD,AXW291,26,11,5,1058.6,783.36,5293.0
SO - 0006321,16-01-2017,25-01-2017,12,Distributor,NZD,AXW291,63,2,9,3939.6,2481.95,35456.4
SO - 000144,17-01-2017,25-01-2017,21,Wholesale,NZD,AXW291,55,5,7,3095.4,2012.01,21667.8
SO - 000357,17-01-2017,30-01-2017,49,Wholesale,USD,AXW291,16,2,8,891.1,739.61,7128.8
SO - 0001466,17-01-2017,27-01-2017,24,Wholesale,NZD,AXW291,94,2,10,1172.5,715.23,11725.0
SO - 0002331,17-01-2017,25-01-2017,18,Wholesale,NZD,AXW291,66,6,6,1822.4,1111.66,10934.4
SO - 0002409,17-01-2017,29-01-2017,6,Wholesale,NZD,AXW291,51,7,9,1105.5,773.85,9949.5
SO - 0002878,17-01-2017,25-01-2017,34,Distributor,NZD,AXW291,40,2,11,1025.1,635.56,11276.1
SO - 0003178,17-01-2017,22-01-2017,38,Export,AUD,AXW291,11,1,5,737.0,368.5,3685.0
SO - 0003419,17-01-2017,29-01-2017,46,Export,NZD,AXW291,79,9,10,1098.8,637.3,10988.0
SO - 0003637,17-01-2017,30-01-2017,33,Distributor,NZD,AXW291,46,1,6,737.0,302.17,4422.0
SO - 000418,18-01-2017,27-01-2017,13,Wholesale,NZD,AXW291,76,13,7,703.5,316.58,4924.5
SO - 0001373,18-01-2017,29-01-2017,17,Distributor,NZD,AXW291,60,5,12,2532.6,1848.8,30391.2
SO - 0003278,18-01-2017,05-02-2017,46,Wholesale,NZD,AXW291,84,5,5,3819.0,2405.97,19095.0
SO - 0003642,18-01-2017,21-01-2017,4,Export,AUD,AXW291,2,5,6,750.4,487.76,4502.4
SO - 0006249,18-01-2017,31-01-2017,15,Distributor,EUR,AXW291,22,1,7,1728.6,1071.73,12100.2
SO - 0006328,18-01-2017,25-01-2017,27,Wholesale,AUD,AXW291,8,6,8,247.9,114.03,1983.2
SO - 0006428,18-01-2017,04-02-2017,22,Export,NZD,AXW291,11,7,12,2934.6,1437.95,35215.2
SO - 0007229,18-01-2017,04-02-2017,21,Wholesale,NZD,AXW291,34,11,6,3879.3,2094.82,23275.8
SO - 0007857,18-01-2017,29-01-2017,2,Export,EUR,AXW291,13,4,7,2257.9,1106.37,15805.3
SO - 0008068,18-01-2017,30-01-2017,12,Wholesale,EUR,AXW291,1,7,7,3403.6,2688.84,23825.2
SO - 000561,19-01-2017,23-01-2017,48,Wholesale,NZD,AXW291,54,1,7,1206.0,663.3,8442.0
SO - 0002217,19-01-2017,05-02-2017,21,Wholesale,NZD,AXW291,66,14,9,1098.8,483.47,9889.2
SO - 0003600,19-01-2017,06-02-2017,45,Wholesale,NZD,AXW291,55,7,5,207.7,145.39,1038.5
SO - 0003757,19-01-2017,23-01-2017,44,Wholesale,USD,AXW291,83,11,9,2445.5,1393.94,22009.5
SO - 0003773,19-01-2017,28-01-2017,37,Wholesale,AUD,AXW291,9,7,7,2479.0,2007.99,17353.0
SO - 0004807,19-01-2017,04-02-2017,14,Wholesale,NZD,AXW291,20,7,10,1005.0,582.9,10050.0
SO - 0005301,19-01-2017,26-01-2017,39,Export,EUR,AXW291,68,8,7,254.6,175.67,1782.2
SO - 0005616,19-01-2017,04-02-2017,10,Wholesale,NZD,AXW291,46,5,7,1996.6,1557.35,13976.2
SO - 0007476,19-01-2017,04-02-2017,2,Export,EUR,AXW291,36,13,11,2432.1,1970.0,26753.1
SO - 0001344,20-01-2017,02-02-2017,49,Wholesale,USD,AXW291,15,7,5,2271.3,1294.64,11356.5
SO - 0002122,20-01-2017,25-01-2017,42,Wholesale,NZD,AXW291,71,1,6,884.4,689.83,5306.4
SO - 0002222,20-01-2017,06-02-2017,19,Wholesale,USD,AXW291,93,1,12,1842.5,902.83,22110.0
SO - 0005352,20-01-2017,24-01-2017,19,Distributor,EUR,AXW291,54,11,5,1072.0,761.12,5360.0
SO - 000219,21-01-2017,28-01-2017,11,Export,NZD,AXW291,9,9,8,1748.7,1101.68,13989.6
SO - 000619,21-01-2017,02-02-2017,37,Distributor,USD,AXW291,76,2,8,1078.7,755.09,8629.6
SO - 0001310,21-01-2017,31-01-2017,13,Wholesale,AUD,AXW291,41,10,7,737.0,626.45,5159.0
SO - 0002610,21-01-2017,26-01-2017,49,Wholesale,USD,AXW291,47,5,10,1788.9,751.34,17889.0
SO - 0003341,21-01-2017,25-01-2017,12,Wholesale,NZD,AXW291,50,5,12,2224.4,1757.28,26692.8
SO - 0003868,21-01-2017,25-01-2017,1,Wholesale,EUR,AXW291,21,1,8,2512.5,1331.63,20100.0
SO - 0004528,21-01-2017,03-02-2017,24,Wholesale,AUD,AXW291,33,11,11,6358.3,3942.15,69941.3
SO - 0006086,21-01-2017,02-02-2017,15,Distributor,EUR,AXW291,10,2,12,3966.4,1705.55,47596.8
SO - 0006234,21-01-2017,28-01-2017,5,Wholesale,USD,AXW291,59,13,6,1983.2,1269.25,11899.2
SO - 0006644,21-01-2017,03-02-2017,18,Distributor,USD,AXW291,17,11,7,5507.4,2533.4,38551.8
SO - 0007123,21-01-2017,30-01-2017,38,Distributor,NZD,AXW291,93,9,11,1005.0,532.65,11055.0
SO - 0003397,22-01-2017,28-01-2017,5,Wholesale,USD,AXW291,10,13,10,201.0,142.71,2010.0
SO - 0004965,22-01-2017,07-02-2017,48,Distributor,USD,AXW291,45,14,7,3825.7,1874.59,26779.9
SO - 0006379,22-01-2017,27-01-2017,13,Wholesale,USD,AXW291,28,5,8,1038.5,726.95,8308.0
SO - 0007641,22-01-2017,25-01-2017,40,Distributor,GBP,AXW291,88,9,10,201.0,168.84,2010.0
SO - 0007767,22-01-2017,28-01-2017,47,Wholesale,NZD,AXW291,76,1,6,1842.5,1252.9,11055.0
SO - 0004252,23-01-2017,05-02-2017,16,Export,NZD,AXW291,28,5,10,1005.0,683.4,10050.0
SO - 0005888,23-01-2017,04-02-2017,12,Distributor,NZD,AXW291,68,2,9,3926.2,3140.96,35335.8
SO - 0006536,23-01-2017,08-02-2017,10,Wholesale,AUD,AXW291,26,7,10,1085.4,662.09,10854.0
SO - 0006863,23-01-2017,01-02-2017,39,Wholesale,EUR,AXW291,9,13,5,944.7,755.76,4723.5
SO - 0007141,23-01-2017,02-02-2017,7,Wholesale,USD,AXW291,4,11,8,2619.7,2174.35,20957.6
SO - 0002449,24-01-2017,29-01-2017,30,Wholesale,USD,AXW291,33,1,7,1145.7,641.59,8019.9
SO - 0003322,24-01-2017,28-01-2017,5,Wholesale,GBP,AXW291,80,7,7,5272.9,4165.59,36910.3
SO - 0003376,24-01-2017,31-01-2017,41,Distributor,NZD,AXW291,30,5,9,187.6,138.82,1688.4
SO - 0004653,24-01-2017,10-02-2017,21,Wholesale,GBP,AXW291,24,1,9,1232.8,788.99,11095.2
SO - 0004727,24-01-2017,11-02-2017,5,Export,EUR,AXW291,49,1,9,2814.0,1997.94,25326.0
SO - 000185,25-01-2017,05-02-2017,8,Export,AUD,AXW291,26,5,9,5447.1,3540.62,49023.9
SO - 0005852,25-01-2017,28-01-2017,23,Wholesale,NZD,AXW291,35,5,9,938.0,750.4,8442.0
SO - 0006229,25-01-2017,08-02-2017,32,Wholesale,NZD,AXW291,5,11,9,2278.0,1161.78,20502.0
SO - 0007796,25-01-2017,03-02-2017,27,Distributor,USD,AXW291,49,7,5,1782.2,1497.05,8911.0
SO - 0001851,26-01-2017,04-02-2017,17,Export,USD,AXW291,21,11,9,2740.3,1205.73,24662.7
SO - 0003418,26-01-2017,07-02-2017,40,Export,USD,AXW291,87,11,12,917.9,523.2,11014.8
SO - 0003535,26-01-2017,06-02-2017,10,Wholesale,AUD,AXW291,59,11,5,1976.5,1462.61,9882.5
SO - 0004051,26-01-2017,08-02-2017,10,Wholesale,USD,AXW291,76,7,8,1943.0,1224.09,15544.0
SO - 0005008,26-01-2017,10-02-2017,38,Distributor,AUD,AXW291,93,11,11,850.9,697.74,9359.9
SO - 0005207,26-01-2017,05-02-2017,32,Wholesale,NZD,AXW291,34,2,10,857.6,497.41,8576.0
SO - 0005249,26-01-2017,29-01-2017,15,Wholesale,NZD,AXW291,55,2,11,1192.6,632.08,13118.6
SO - 0006241,26-01-2017,03-02-2017,44,Wholesale,NZD,AXW291,9,1,10,1065.3,628.53,10653.0
SO - 0007164,26-01-2017,31-01-2017,2,Wholesale,USD,AXW291,64,2,8,2311.5,1386.9,18492.0
SO - 0004444,27-01-2017,09-02-2017,14,Wholesale,GBP,AXW291,42,1,5,1051.9,746.85,5259.5
SO - 0004566,27-01-2017,14-02-2017,40,Export,AUD,AXW291,97,7,10,3839.1,2149.9,38391.0
SO - 0004671,27-01-2017,03-02-2017,37,Wholesale,USD,AXW291,12,1,11,201.0,118.59,2211.0
SO - 0007527,27-01-2017,04-02-2017,25,Wholesale,AUD,AXW291,93,13,6,1159.1,869.33,6954.6
SO - 0004766,28-01-2017,04-02-2017,47,Distributor,EUR,AXW291,63,11,9,2425.4,1479.49,21828.6
SO - 0007205,28-01-2017,14-02-2017,5,Export,USD,AXW291,35,1,7,938.0,712.88,6566.0
SO - 0001700,29-01-2017,05-02-2017,41,Wholesale,NZD,AXW291,15,1,8,857.6,686.08,6860.8
SO - 0004950,29-01-2017,09-02-2017,46,Distributor,NZD,AXW291,48,2,9,3825.7,3098.82,34431.3
SO - 0003330,30-01-2017,08-02-2017,27,Export,NZD,AXW291,22,7,9,1306.5,535.67,11758.5
SO - 0004404,30-01-2017,08-02-2017,21,Wholesale,AUD,AXW291,100,2,6,3906.1,2031.17,23436.6
SO - 0004681,30-01-2017,11-02-2017,1,Distributor,EUR,AXW291,14,2,11,5045.1,3027.06,55496.1
SO - 0005128,30-01-2017,13-02-2017,43,Distributor,USD,AXW291,3,11,5,227.8,161.74,1139.0
SO - 0005510,30-01-2017,14-02-2017,15,Wholesale,AUD,AXW291,35,13,9,1876.0,1275.68,16884.0
SO - 0006238,30-01-2017,04-02-2017,2,Wholesale,NZD,AXW291,55,2,9,2338.3,1286.07,21044.7
SO - 0007680,30-01-2017,16-02-2017,30,Wholesale,AUD,AXW291,93,11,11,1755.4,754.82,19309.4
SO - 0007828,30-01-2017,14-02-2017,3,Export,USD,AXW291,54,5,10,3470.6,2845.89,34706.0
SO - 0008076,30-01-2017,09-02-2017,46,Wholesale,NZD,AXW291,41,7,5,1038.5,664.64,5192.5
SO - 000531,31-01-2017,04-02-2017,33,Wholesale,EUR,AXW291,85,4,6,1172.5,809.03,7035.0
SO - 0002336,31-01-2017,04-02-2017,20,Distributor,NZD,AXW291,83,7,9,3457.2,1452.02,31114.8
SO - 0002721,31-01-2017,16-02-2017,17,Wholesale,NZD,AXW291,68,14,10,6311.4,4986.01,63114.0
SO - 0003215,31-01-2017,11-02-2017,16,Wholesale,EUR,AXW291,73,7,11,174.2,127.17,1916.2
SO - 0003944,31-01-2017,05-02-2017,44,Wholesale,NZD,AXW291,100,13,12,268.0,171.52,3216.0
SO - 0006288,31-01-2017,03-02-2017,41,Distributor,USD,AXW291,34,4,9,1038.5,571.18,9346.5
SO - 0006474,31-01-2017,14-02-2017,28,Distributor,NZD,AXW291,50,5,7,6217.6,4974.08,43523.2
SO - 0007429,31-01-2017,10-02-2017,34,Wholesale,NZD,AXW291,42,7,6,3966.4,2974.8,23798.4
SO - 000289,1-02-2017,10-02-2017,24,Wholesale,EUR,AXW291,70,2,7,1996.6,1397.62,13976.2
SO - 000897,1-02-2017,08-02-2017,14,Distributor,NZD,AXW291,18,11,11,3008.3,1594.4,33091.3
SO - 0001604,1-02-2017,04-02-2017,44,Export,EUR,AXW291,43,2,6,5815.6,3082.27,34893.6
SO - 0002055,1-02-2017,15-02-2017,4,Wholesale,NZD,AXW291,55,12,5,1185.9,960.58,5929.5
SO - 0002824,1-02-2017,16-02-2017,11,Wholesale,EUR,AXW291,82,3,8,1092.1,589.73,8736.8
SO - 0003708,1-02-2017,19-02-2017,14,Distributor,NZD,AXW291,55,5,6,187.6,146.33,1125.6
SO - 0004298,1-02-2017,08-02-2017,19,Distributor,USD,AXW291,43,12,9,6432.0,4373.76,57888.0
SO - 0006139,1-02-2017,11-02-2017,29,Distributor,NZD,AXW291,51,1,7,3865.9,1701.0,27061.3
SO - 0006538,1-02-2017,04-02-2017,19,Wholesale,AUD,AXW291,23,9,8,1098.8,450.51,8790.4
SO - 0007366,1-02-2017,06-02-2017,36,Export,NZD,AXW291,62,4,10,790.6,545.51,7906.0
SO - 0007450,1-02-2017,13-02-2017,33,Distributor,USD,AXW291,49,13,9,884.4,548.33,7959.6
SO - 000754,2-02-2017,12-02-2017,38,Wholesale,GBP,AXW291,69,11,7,1078.7,442.27,7550.9
SO - 0002307,2-02-2017,11-02-2017,17,Export,GBP,AXW291,89,5,11,167.5,78.73,1842.5
SO - 0004232,2-02-2017,10-02-2017,7,Distributor,NZD,AXW291,38,1,7,1078.7,647.22,7550.9
SO - 0004355,2-02-2017,11-02-2017,11,Distributor,USD,AXW291,31,2,12,670.0,408.7,8040.0
SO - 0004548,2-02-2017,14-02-2017,33,Export,USD,AXW291,30,7,6,6277.9,4143.41,37667.4
SO - 0004604,2-02-2017,14-02-2017,21,Wholesale,NZD,AXW291,16,9,5,1078.7,776.66,5393.5
SO - 0006403,2-02-2017,11-02-2017,6,Distributor,NZD,AXW291,53,10,5,1333.3,986.64,6666.5
SO - 0007042,2-02-2017,05-02-2017,5,Distributor,NZD,AXW291,23,1,12,1996.6,1677.14,23959.2
SO - 0007067,2-02-2017,14-02-2017,11,Wholesale,NZD,AXW291,59,1,11,2592.9,1192.73,28521.9
SO - 0007654,2-02-2017,09-02-2017,5,Distributor,USD,AXW291,37,13,11,2606.3,1668.03,28669.3
SO - 0007986,2-02-2017,16-02-2017,18,Distributor,NZD,AXW291,88,9,7,1132.3,532.18,7926.1
SO - 000259,3-02-2017,13-02-2017,22,Wholesale,AUD,AXW291,48,9,11,2231.1,1784.88,24542.1
SO - 0001007,3-02-2017,14-02-2017,29,Distributor,AUD,AXW291,20,7,8,1922.9,865.31,15383.2
SO - 0001237,3-02-2017,16-02-2017,18,Wholesale,USD,AXW291,69,11,11,5628.0,4108.44,61908.0
SO - 0002670,3-02-2017,12-02-2017,46,Wholesale,EUR,AXW291,75,7,12,3959.7,2811.39,47516.4
SO - 0002953,3-02-2017,06-02-2017,39,Distributor,EUR,AXW291,62,7,5,1025.1,697.07,5125.5
SO - 0004408,3-02-2017,15-02-2017,44,Distributor,NZD,AXW291,79,5,7,1145.7,836.36,8019.9
SO - 000784,4-02-2017,18-02-2017,35,Export,NZD,AXW291,17,7,11,194.3,110.75,2137.3
SO - 0002691,4-02-2017,07-02-2017,1,Distributor,GBP,AXW291,81,7,7,1031.8,588.13,7222.6
SO - 0004754,4-02-2017,10-02-2017,33,Wholesale,NZD,AXW291,21,12,8,6304.7,5106.81,50437.6
SO - 0005111,4-02-2017,07-02-2017,47,Export,AUD,AXW291,96,1,6,5862.5,2872.63,35175.0
SO - 0005435,4-02-2017,20-02-2017,46,Wholesale,AUD,AXW291,7,11,5,3370.1,2527.58,16850.5
SO - 0005542,4-02-2017,09-02-2017,7,Distributor,USD,AXW291,7,7,8,1045.2,710.74,8361.6
SO - 0005697,4-02-2017,09-02-2017,43,Distributor,GBP,AXW291,80,13,10,1983.2,1189.92,19832.0
